file_path,page_count,total_chars,total_words,text_sample,technical_score,structure_score,content_score,overall_score,issues,is_text_based,sample_id,faculty,file_size,error
G:\.shortcut-targets-by-id\1cErCnP4Phe-Supo0U_ju1u-KMunC6Et6\Tau All Data\aws\part9\990032760270204146\12397338490004146\3276027.pdf,108,108,0,"











































































































",75,70,100,81.66666666666667,[],FALSE,990032760270204146,"החוג לכלכלה,",1953353,
G:\.shortcut-targets-by-id\1cErCnP4Phe-Supo0U_ju1u-KMunC6Et6\Tau All Data\aws\part2\9932942199904146\12394700650004146\9932942199904146.pdf,25,35410,4749," 
 
 
 
 
 
 
 
 
 
נושא
 
העבודה:  
 
שכיחות
 
תופעתInvaginatus Dens 
  והופעתה
 
בשילוב
  עם 
מאפיינים
 
מורפולוגים
 
כותרתיים
 
בחותכות 
 
עליונות.   
 
Prevalence of Dens Invaginatus and its Association with Clinical Morphological  
 
Features of Maxillary Incisors 
 
 
 
עבודת
 
גמר
  של 
הבוגרת: 
 
לובנה
 
נאטור
 
 
במסגרת
ביה 
""ס 
לרפואת
 
שיניים
 ע""ש 
מוריס
 
וגבריאלה
 
גולדשלגר
 
כמילוי
 
חלקי
  של 
הדרישות
 
לקבלת
 
התואר
 
 
דוקטור
 
לרפואת
 
שיניים
 
מטעם
 
אוניברסיטת
תל -אביב
. 
 
 ",75,55,60,63.333333333333336,"['Multiple empty lines', 'Page numbers in content', 'Repeated headers/footers']",TRUE,9932942199904146,"בית הספר לרפואת שיניים על שם מוריס וגבריאלה גולדשלגר,",4347503,
G:\.shortcut-targets-by-id\1cErCnP4Phe-Supo0U_ju1u-KMunC6Et6\Tau All Data\aws\part2\9932960495404146\12394878950004146\9932960495404146.pdf,114,175343,27074,"- SJi fl)’t13’flN 
t’p’’1h D’Y1h5 n5pn 
tW 	
fl?Dflflflfl 	
n-F - 
fl 1 - • flP?3 	
fl 1 n  1 L3PL3 ' 1flt 	
n 1 	
• zi -17M 
1N1J1I1 nklpS 1D - nilavD t)1fl fl? 
iii'n 
M.Sc - ""t’V1D5 7n1n"" 
awaN 	
531 31’D’DlI’)lNI 
np’nnn5 i1nn 
1n5’7’n ’01 
- 531 fl\’Q1I’)1k3 .1)1fl fl7lIV.1 
,wflIl , 01, 01; 
1 11 nl1nI 
1986 	
1DhYy 

'run' nil my 'nna5 niini 'n-yin 
', p, flflv pi’ofli flDlTflfl 
5P 
n-yinpn 112Dfln 

5W 	
flfl 7111)D 	
'lt)'I 'I'S rima 7 5 7 pO T1' y Se, nOVU 112Rfl3fl xiinxinnn 
.13 IV ",75,80,75,76.66666666666667,['Page numbers in content'],TRUE,9932960495404146,"בית הספר למדעי המתמטיקה,",2778833,
G:\.shortcut-targets-by-id\1cErCnP4Phe-Supo0U_ju1u-KMunC6Et6\Tau All Data\aws\part10\990023999530204146\12395425150004146\2399953.pdf,142,279038,45976," תשומותיהם של עובדים סוציאליים לדיוני ועדת הכנסת1
 
 
 
 
אוניברסיטת תל אביב 
בית הספר לעבודה סוציאלית ע""ש בוב שאפל 
 
 
 
 תשומותיהם
של עובדים סוציאליים ב
דיוני 
""ועדת העבודה ,הרווחה והבריאות"" בכנסות ה-
51
 וה- 
51
 
 
 
חיבור זה הוגש כעבודת גמר לקראת התואר  ""מוסמך אוניברסיטה בעבודה סוציאלית"" 
באוניברסיטת תל אביב 
 
על ידי 
סטל רים 
 
 העבודה
הוכנה בהדרכת 
פרופ 'עידית וייס-גל 
 
 
פברואר 
3102
 

 תשומותיהם של עובדים סוציאליים לדיוני ועדת הכנסת2
 
 
 
 
אוניברסיטת תל אביב 
בית הספר לעבודה סוציא",100,30,60,63.333333333333336,"['Multiple spaces', 'Multiple empty lines', 'Page numbers in content', 'Repeated headers/footers']",TRUE,990023999530204146,"בית הספר לעבודה סוציאלית ע""ש בוב שאפל",1809145,
G:\.shortcut-targets-by-id\1cErCnP4Phe-Supo0U_ju1u-KMunC6Et6\Tau All Data\aws\part6\9933217994704146\12405984680004146\מיסוי בשירות הפלורליזם - עינת סולניק.pdf,223,620528,98850,"1 
 
 
 
הפקולטה למשפטים
 
מרכז צבי מיתר ללימודי משפט מתקדמים
 
 
 
 :מיסוי בשירות הפלורליזם
 
מנגנון מתן הטבות מס בעבור תרומות
 
 )תחולתו של סעיף46
 
(לפקודת מס הכנסה
 
 
מאת עינת סולניק
 
ובהנחיית פרופסור יורם מרגליות
 
 
 
""חיבור לשם קבלת התואר ""דוקטור לפילוסופיה
 
 
 
 
 
 הוגש לסנאט
אוניברסיטת תל אביב בתאריך:
  
__  אפריל  2019
  

2 
 
תוכן עניינים
 
 
תקציר
 )4( 
מבוא
 )10
( 
 
פרק א: התועלת שבמנגנון מתן הטבות מס בעבור תרומות
 )13
( 
.א ההצדקות שבמחקר למנגנון מתן הטבות מס בעבור תרומות
 )1",75,30,50,51.666666666666664,"['Multiple spaces', 'Multiple empty lines', 'Page numbers in content', 'Repeated headers/footers']",TRUE,9933217994704146,הפקולטה למשפטים,1950499,
G:\.shortcut-targets-by-id\1cErCnP4Phe-Supo0U_ju1u-KMunC6Et6\Tau All Data\aws\part11\990025576540204146\12396424440004146\2557654.pdf,151,157730,24985,"I ' 
VLlt.:j~t1 
"" 
I 
•
""""'CI.:""L 
SJ76·SS~ 
•• 
l!j(tlU! l!lCtl! t:l!1.LCU U, H"" lLli:CUL 
j(l, do.L l!U! tL-Lli:Ll 
I,LlLHU l!UlHL lI[llO[lL calA, l!Ut:Ll!1I - a""N"" OIlC,t:LOLCIU UnH 
U,tlL lU l!lf~ CJ(tlLU faL 
nc:. 
L!Ltmu L!L!KCIc:ic:iIU  
L!HILt:I:.  
l![lLCl 1,~,[llL'O HlLtt""O 
a.CllLl 44 Q.4~ UQ.Q
l!IiLllI,OO l,[llA, l!ut:Ll! 
l~'C"" 
~U4L 4._ •• QG.L
Ntt,t:LOdIU U""N "" 
j, 
Q4C4 ~UdL 44 4Ll UQ~T\U 
'l'1i:.l LU H 
UIUU ~CI. ,.II 

...  
/' 
U~lLU UlCrU tuLLCU LL. H"" 
lL~tL~L 
~l, <I., ULU",100,80,75,85,['Page numbers in content'],TRUE,990025576540204146,"המרכז ללימודים אורבניים ואזוריים,",3506408,
G:\.shortcut-targets-by-id\1cErCnP4Phe-Supo0U_ju1u-KMunC6Et6\Tau All Data\aws\part14\9933383567504146\12396530420004146\9933383567504146.pdf,181,482185,71827," 
  
אוניברסיטת תל-
 אביב 
בית 
 הספר 
 לחינוך 
ע""ש חיים 
 וג'
 ואן קונסטנטינר 
 
 
 
מאפייני תפקוד מסתגל של ילדים צעירים:   
תרומתם של גורמי סיכון והגנה                                     
ברמת 
,הילד המשפחה 
 וגן הילדים 
 
 
חיבור 
 לשם 
 קבלת התואר ""דוקטור 
 ""לפילוסופיה 
 
 
 
 מאת:
 
איריס חזקיה 
 ברד 
 
 
 
 
 
הוגש לסנאט של אוניברסיטת תל-
 אביב 
 
 
 
 
 
 
אפריל 
2022
 
 
 
 
 

 
 
 
II
 
עבודה 
 זו נעשתה 
 בהדרכת 
 'פרופ 
 מיכל אל-יגון 
  

 
 
 
 
III
 
 תודות 
תודה מקרב לב והערכה רבה",100,30,50,60,"['Multiple spaces', 'Multiple empty lines', 'Page numbers in content', 'Repeated headers/footers']",TRUE,9933383567504146,"בית הספר לחינוך,",3079323,
G:\.shortcut-targets-by-id\1cErCnP4Phe-Supo0U_ju1u-KMunC6Et6\Tau All Data\aws\part2\990022700720204146\12394919800004146\002270072.pdf,72,72,0,"







































































",75,70,100,81.66666666666667,[],FALSE,990022700720204146,"בית הספר לחינוך,",1201808,
G:\.shortcut-targets-by-id\1cErCnP4Phe-Supo0U_ju1u-KMunC6Et6\Tau All Data\aws\part8\9933027499904146\12395216450004146\9933027499904146.pdf,80,123901,19841,"אביב-אוניברסיטת תל
הפקולטה לרפואה ע""ש סאקלר
המדרשה לתארים מתקדמים ע""ש ד ר"" מרים ושלדון ג' אדלסון 
בית ספר למקצועות הבריאות 
החוג לסיעוד 
 לאינסולין: 2 היענות חולי סוכרת מסוג
השפעתם של אמונות בריאותיות 
והאי וודאות על ההיענות 
העובדה מוגשת ע""י: רינת מג'אדלה
עבודה זו בוצעה כמילוי חלקי של הדרישות לקבלת תואר מוסמך בפקולטה לרפואה ע""ש סאקלר 
אביב -אוניברסיטת תל
בהנחייתו של: פרופ' יורם בר טל 
 2018 אוקטובר

 
 תוכן
ה
עניינים
 
 
תקציר
 ................................
................................
.",75,25,50,50,"['Multiple spaces', 'Multiple empty lines', 'Page numbers in content', 'Repeated headers/footers']",TRUE,9933027499904146,החוג לסיעוד,1418113,
G:\.shortcut-targets-by-id\1cErCnP4Phe-Supo0U_ju1u-KMunC6Et6\Tau All Data\aws\part8\990003533110204146\12395376170004146\990003533110204146.pdf,105,105,0,"








































































































",75,70,100,81.66666666666667,[],FALSE,990003533110204146,"בית הספר למוסמכים במינהל עסקים על שם לאון רקנטי,",7960157,
G:\.shortcut-targets-by-id\1cErCnP4Phe-Supo0U_ju1u-KMunC6Et6\Tau All Data\aws\part2\9933023689804146\12395195470004146\9933023689804146.pdf,134,261654,40647," 
אוניברסיטת תל אביב 
הפקולטה לאמנויות ע""ש דוד ויולנדה כץ 
החוג לתולדות האמנות 
 
 
 
 
בית-
( הסקרמנט מכנסיית גבירתנוUnsere Liebe Frau
 ) בבמברג
(
Bamberg) בראי אסתטיקה של עובדות 
 
 
( ""חיבור זה הוגש כעבודת גמר לקראת התואר ""מוסמך אוניברסיטהM.A
)  
באוניברסיטת תל אביב 
 
 
 
 
 
את מ :מאשה גולדין 
בהנחיית: פרופ' אסף פינקוס 
 
 
 
 
 ספטמבר2019
 

 
אוניברסיטת תל אביב 
הפקולטה לאמנויות ע""ש דוד ויולנדה כץ 
החוג לתולדות האמנות 
 
 
 
 
בית-
( הסקרמנט מכנסיית גבירתנוUnsere Liebe Frau) בבמברג 
(
Bam",75,30,50,51.666666666666664,"['Multiple spaces', 'Multiple empty lines', 'Page numbers in content', 'Repeated headers/footers']",TRUE,9933023689804146,"החוג לתולדות האומנות,",8731314,
G:\.shortcut-targets-by-id\1cErCnP4Phe-Supo0U_ju1u-KMunC6Et6\Tau All Data\aws\part8\990023475560204146\12395271000004146\002347556.pdf,172,20016,2248,"J.1J.N-7n nlJ 1 0lJ.1JIN 
l'lJlN. 1'mo11lJ0'7 \!.1
11.IJ nnil •ir1n'7 illJ71j79il 
il'lllJO'il7 190il n•J. 
D""TNil nJ.1J.OI il'9l;IIN.';17 ;\lnil 
11il 19101'7 19'7 lllJj7n"" 1Nrnil n'7J.j7 D\!.17 \!J;llil ilr 11J. 1n 
J.'J.N '7n no•o-n1)INJ. 
:n)l""TilJ. ilDlil il""TIJ.l.lil
2011 
'N.Y.l

 
 


8 ....................................................................................................................... N11n 
20 ............................................... c11n n,1N) m1n11il :n•-nnil",75,65,75,71.66666666666667,['Page numbers in content'],FALSE,990023475560204146,"החוג לגיאוגרפיה,",36109227,
G:\.shortcut-targets-by-id\1cErCnP4Phe-Supo0U_ju1u-KMunC6Et6\Tau All Data\aws\part9\990032644780204146\12397321950004146\003264478.pdf,86,199753,33365," 

1
 
 
תוכן עניינים 
 
מבוא   
................................
................................
................................
................................
.............................
 2
 
1.
 אפיון 
................................
................................
................................
................................
......................
 6
 
.א ילד הורי, פרנטיפי
קציה והיפוך תפקידים בספרות המקצועית 
................................
................................
.....",75,55,70,66.66666666666667,"['Multiple empty lines', 'Page numbers in content', 'Repeated headers/footers']",TRUE,990032644780204146,החוג לקולנוע וטלויזיה,1939883,
G:\.shortcut-targets-by-id\1cErCnP4Phe-Supo0U_ju1u-KMunC6Et6\Tau All Data\aws\part7\9933609113904146\12433893680004146\9933609113904146.pdf,153,153,0,"
























































































































































",75,70,100,81.66666666666667,[],FALSE,9933609113904146,"המחלקה להנדסת תעשייה,",2397470,
